Created At,Order ID,Pair,From Address,From Transaction ID,To Address,To Transaction ID,Swap ID,Message,Pay-In Address,Rate ID,Status,Updated At,Amount,To Amount,Service,From,To,From Amount,From Amount String,From Amount (USD),To Amount,To Amount String,To Amount (USD),Service Response,Service Status,From Source,Refund Transaction,Button,Error,Client Build,Client Version
2022-05-22T00:23:37.165Z,z49a2x08e66db97o,USDT_BTC,0x4a08a22d358BfECE423a88C3afF54A8D12b24F2e,0xacfe8489a85fe8f5bb2c188ca90a1fd127bd2b3681a35c4718432114f481f44d,bc1q6su4lnctawwxpfn39hcu49kz20mh37q5wpjvr2,f52dd38426659f14e84867ecc4140236346c3f386fba7616b69a89ed0e6aac1b,vA2PNXJv72lBeOo,,0xc2951ec6dbba49ad85ac63d19fe1e3c98f30a31e,,complete,2022-05-22T00:23:37.165Z,2500 USDT,0.08284113 BTC,,USDT,BTC,2500,2500,2500,0.08284113,0.08284113,0.08284113,,,,,,,,
2022-05-22T00:46:40.111Z,tim7qs3gdrrjptme,USDT_BTC,0x4a08a22d358BfECE423a88C3afF54A8D12b24F2e,0x5cf9bfc62c03990b01bd7307c89ffd7974af8641e1148756d87a875f1803a857,bc1qry86ftd2vtua5pq2j9r8842gd0jy7eaw5gtapy,eb7dc39cf6900b476d56f4fbf4e35a6fbe12350272bf965fb8276dea6d24f921,GVdr8M4QKMljbqz,This exchange is delayed but will complete soon.,0x849255b6262c80a4602c677bf61549a41e0301cb,,complete,2022-05-22T00:46:40.111Z,2500 USDT,0.08287415 BTC,,USDT,BTC,2500,2500,2500,0.08287415,0.08287415,0.08287415,,,,,,,,
2022-05-20T20:59:45.143Z,O9XUSU,USDT_BTC,0x4a08a22d358BfECE423a88C3afF54A8D12b24F2e,0x2c529981ee095531647878eb8d4fe133ef499d4b315827b2b9fc61d8d86d5226,bc1q586jmjh3j0s9dd4r9c67n6wlv5hzcrz794q09p,ef91fb86f65c176d029ed2612f71490c6c627f0b895c15dbc35059042f9b08dc,xmdPlwJ3bq5w0JO,,0xA4A0F37031BE58a66a8C17185b9a3f1C0634e192,,complete,2022-05-20T20:59:45.143Z,2500 USDT,0.0838597 BTC,,USDT,BTC,2500,2500,2500,0.0838597,0.0838597,0.0838597,,,,,,,,
2022-05-20T21:17:03.672Z,mfa59j4lx1zxmshn,USDT_BTC,0x4a08a22d358BfECE423a88C3afF54A8D12b24F2e,0xba0c3a6c0ff35bb3cda9508dc89995e64d3aa30af8dce2d5d0d9aa02a732cf2c,bc1q86tj6wrfehdet64m7czdjh9ynujqqsw835h0ww,9a18a3784340eb4e5a1f1c7e5c3b20755d642de07b9b087aadb89f2761384e92,GVdr8M4Avyljbqz,,0x4c68a14a7d28fc4a6069eda81bd3eb52f4c3abdf,,complete,2022-05-20T21:17:03.672Z,2500 USDT,0.08348596 BTC,,USDT,BTC,2500,2500,2500,0.08348596,0.08348596,0.08348596,,,,,,,,
2022-05-20T21:38:15.276Z,gdxm8ua7m95m1u1a,USDT_BTC,0x4a08a22d358BfECE423a88C3afF54A8D12b24F2e,0xaea0350ead98bb21ab648c7de1c5df88feecf382d91b199d4ab2320251e64688,bc1qwk9cfjfm2za33nmmcqmvpd9pt9y8tlczqwr49r,9865e5c79e25fef165e7987ea140038b172dd5f6f9155aac168511404c4dfa01,mXWKl2xJ6ENpogq,,0x4ab08092c4a9a56a12fec668ef4e060ea10571d7,,complete,2022-05-20T21:38:15.276Z,2496.757807 USDT,0.08318599 BTC,,USDT,BTC,2496.757807,2496.757807,2496.757807,0.08318599,0.08318599,0.08318599,,,,,,,,
2022-05-20T21:58:59.826Z,ONYDT4,USDT_DOGE,0x4a08a22d358BfECE423a88C3afF54A8D12b24F2e,0xec29883b882a07f2601b23f983f669c0dd3014b5c44a8168989f71575c163c03,DTgc9xAiDBUVrdY8Pz2rftisB47JKtFm2b,f8729ec2e8f56776fbaadc1586ac33a151207919673fa6e3d54644f1070a878e,ZwvY8nqwzXlqQ3V,,0xA4A0F37031BE58a66a8C17185b9a3f1C0634e192,,complete,2022-05-20T21:58:59.826Z,2200 USDT,25412.28251851 DOGE,,USDT,DOGE,2200,2200,2200,25412.28251851,25412.28251851,25412.28251851,,,,,,,,
2022-05-20T22:05:05.858Z,OPWCT1,USDT_BTC,0x4a08a22d358BfECE423a88C3afF54A8D12b24F2e,0xafe678d0ad28836b07a4ff4b76bc5ca9e3bed32e82676dc92e564c9a8430eef4,bc1qd968twzg2txszhw38amjr5meacttmf6x8gqqwc,84fa828ea644d2162ad7ace39911cc4442c9203a99822912e57bdb061ce16921,E6M38GeAjK51XGQ,,0xA4A0F37031BE58a66a8C17185b9a3f1C0634e192,,complete,2022-05-20T22:05:05.858Z,2400 USDT,0.07978618 BTC,,USDT,BTC,2400,2400,2400,0.07978618,0.07978618,0.07978618,,,,,,,,
2022-05-20T22:22:04.577Z,OPEQH5,USDT_BTC,0x4a08a22d358BfECE423a88C3afF54A8D12b24F2e,0x89c79fcbac86280ea81a16c573e09a64f34a7f12c902b5e884520c74fbea714d,bc1qljrlgesgshylq4auaqez7g87wafv4qrnef4cm5,9faa4b4401aec7a89797da083a42b1a456647f568a3481dde48c77fd05acf125,E6M38GeA6451XGQ,,0xA4A0F37031BE58a66a8C17185b9a3f1C0634e192,,complete,2022-05-20T22:22:04.577Z,2903.242193 USDT,0.09649781 BTC,,USDT,BTC,2903.242193,2903.242193,2903.242193,0.09649781,0.09649781,0.09649781,,,,,,,,
2022-06-03T20:28:31.243Z,92xjrhbu1qt7o0eo,USDT_BTC,0x4a08a22d358BfECE423a88C3afF54A8D12b24F2e,0x56ecb1683c8ac2c17f07a38b32e91ba88cc1e1f856038b18f12700e8a0cc7812,bc1qn6gepaxfpf59gp4x3t0gdc36hr2mtv8p5nc9jm,981880f90bf9c4064d460d400fced013db07a02bea052e80881b2366303ef463,xmdPlwX2068w0JO,,0xc0d0c871307e435fec37f4a2a39ae4ca2c9a54ec,d08tG0Nuo9DZHZVLmkjQF,complete,2022-06-03T20:28:31.243Z,5159.132747 USDT,0.16939032 BTC,,USDT,BTC,5159.132747,5159.132747,5159.132747,0.16939032,0.16939032,0.16939032,,,,,,,,
2022-06-13T20:44:51.480Z,ibua3lsyl2co3s3v,USDT_BTC,0x4a08a22d358BfECE423a88C3afF54A8D12b24F2e,0x7e1507e73fd330c8b4344afe27ccfc9492010b32f1bb537c82c11621dadb8b84,bc1qhy5tfv2mgt774wuyv4c42ywn4mmh2p902ynpsr,ca225c63c694d29da157a1b3f5e64d81cf0bac606d3bd76751428df2bb92aaea,ROzE5p2XoZ8J1nV,,0xbd44437cd5c9c45b618b3b143725a8debe35e4da,xxMqS5jcOgSrwa~p9kPfM,complete,2022-06-13T20:44:51.480Z,5000 USDT,0.20920549 BTC,,USDT,BTC,5000,5000,5000,0.20920549,0.20920549,0.20920549,,,,,,,,
